Date,NAV per Share,Ex-Dividends,,,
21-May-10,84.4,0,,,
24-May-10,84.45,0,,,
25-May-10,83.81,0,,,
26-May-10,83.99,0,,,
27-May-10,84.07,0,,,
28-May-10,84.57,0,,,
01-Jun-10,83.96,0.64,,,
02-Jun-10,83.86,0,,,
03-Jun-10,84.01,0,,,
04-Jun-10,83.86,0,,,
07-Jun-10,83.79,0,,,
08-Jun-10,83.71,0,,,
09-Jun-10,83.66,0,,,
10-Jun-10,83.52,0,,,
11-Jun-10,83.5,0,,,
14-Jun-10,83.38,0,,,
15-Jun-10,83.92,0,,,
16-Jun-10,84.32,0,,,
17-Jun-10,84.71,0,,,
18-Jun-10,85.14,0,,,
21-Jun-10,85.46,0,,,
22-Jun-10,85.8,0,,,
23-Jun-10,85.74,0,,,
24-Jun-10,85.62,0,,,
25-Jun-10,85.64,0,,,
28-Jun-10,85.49,0,,,
29-Jun-10,85.53,0,,,
30-Jun-10,85.33,0,,,
01-Jul-10,84.54,0.62,,,
02-Jul-10,84.55,0,,,
06-Jul-10,84.7,0,,,
07-Jul-10,84.85,0,,,
08-Jul-10,85.14,0,,,
09-Jul-10,85.39,0,,,
12-Jul-10,85.46,0,,,
13-Jul-10,85.91,0,,,
14-Jul-10,86.18,0,,,
15-Jul-10,86.34,0,,,
16-Jul-10,86.42,0,,,
19-Jul-10,86.37,0,,,
20-Jul-10,86.63,0,,,
21-Jul-10,86.85,0,,,
22-Jul-10,87.07,0,,,
23-Jul-10,87.23,0,,,
26-Jul-10,87.32,0,,,
27-Jul-10,87.64,0,,,
28-Jul-10,87.8,0,,,
29-Jul-10,87.87,0,,,
30-Jul-10,87.87,0,,,
02-Aug-10,87.22,0.6,,,
03-Aug-10,87.49,0,,,
04-Aug-10,87.67,0,,,
05-Aug-10,87.69,0,,,
06-Aug-10,87.69,0,,,
09-Aug-10,87.61,0,,,
10-Aug-10,87.75,0,,,
11-Aug-10,87.37,0,,,
12-Aug-10,86.99,0,,,
13-Aug-10,86.89,0,,,
16-Aug-10,86.56,0,,,
17-Aug-10,86.96,0,,,
18-Aug-10,87.04,0,,,
19-Aug-10,87.1,0,,,
20-Aug-10,87.03,0,,,
23-Aug-10,86.9,0,,,
24-Aug-10,87,0,,,
25-Aug-10,86.92,0,,,
26-Aug-10,86.72,0,,,
27-Aug-10,86.77,0,,,
30-Aug-10,86.73,0,,,
31-Aug-10,86.74,0,,,
01-Sep-10,86.35,0.63,,,
02-Sep-10,86.42,0,,,
03-Sep-10,86.73,0,,,
07-Sep-10,86.8,0,,,
08-Sep-10,86.95,0,,,
09-Sep-10,87.18,0,,,
10-Sep-10,87.4,0,,,
13-Sep-10,87.56,0,,,
14-Sep-10,87.79,0,,,
15-Sep-10,87.97,0,,,
16-Sep-10,88.14,0,,,
17-Sep-10,88.2,0,,,
20-Sep-10,88.26,0,,,
21-Sep-10,88.39,0,,,
22-Sep-10,88.3,0,,,
23-Sep-10,88.11,0,,,
24-Sep-10,88.25,0,,,
27-Sep-10,88.16,0,,,
28-Sep-10,88.53,0,,,
29-Sep-10,88.66,0,,,
30-Sep-10,88.8,0,,,
01-Oct-10,88.42,0.59,,,
04-Oct-10,88.47,0,,,
05-Oct-10,88.74,0,,,
06-Oct-10,89.04,0,,,
07-Oct-10,89.22,0,,,
08-Oct-10,89.35,0,,,
11-Oct-10,89.4,0,,,
12-Oct-10,89.49,0,,,
13-Oct-10,89.7,0,,,
14-Oct-10,89.8,0,,,
15-Oct-10,89.7,0,,,
18-Oct-10,89.7,0,,,
19-Oct-10,89.63,0,,,
20-Oct-10,89.76,0,,,
21-Oct-10,89.73,0,,,
22-Oct-10,89.84,0,,,
25-Oct-10,90.07,0,,,
26-Oct-10,90.18,0,,,
27-Oct-10,90.24,0,,,
28-Oct-10,90.33,0,,,
29-Oct-10,90.39,0,,,
01-Nov-10,89.9,0.6,,,
02-Nov-10,89.89,0,,,
03-Nov-10,90.04,0,,,
04-Nov-10,90.46,0,,,
05-Nov-10,90.78,0,,,
08-Nov-10,90.81,0,,,
09-Nov-10,90.91,0,,,
10-Nov-10,90.6,0,,,
11-Nov-10,90.62,0,,,
12-Nov-10,90.31,0,,,
15-Nov-10,90.07,0,,,
16-Nov-10,89.39,0,,,
17-Nov-10,89.31,0,,,
18-Nov-10,89.58,0,,,
19-Nov-10,89.34,0,,,
22-Nov-10,89.19,0,,,
23-Nov-10,88.85,0,,,
24-Nov-10,88.82,0,,,
26-Nov-10,88.94,0,,,
29-Nov-10,88.6,0,,,
30-Nov-10,88.35,0,,,
01-Dec-10,88.11,0.59,,,
02-Dec-10,88.34,0,,,
03-Dec-10,88.52,0,,,
06-Dec-10,88.59,0,,,
07-Dec-10,88.93,0,,,
08-Dec-10,88.83,0,,,
09-Dec-10,88.92,0,,,
10-Dec-10,88.89,0,,,
13-Dec-10,88.92,0,,,
14-Dec-10,88.86,0,,,
15-Dec-10,88.82,0,,,
16-Dec-10,88.73,0,,,
17-Dec-10,88.74,0,,,
20-Dec-10,88.93,0,,,
21-Dec-10,88.85,0,,,
22-Dec-10,89.07,0,,,
23-Dec-10,89.14,0,,,
27-Dec-10,89.28,0,,,
28-Dec-10,88.74,0.58,,,
29-Dec-10,88.85,0,,,
30-Dec-10,88.95,0,,,
31-Dec-10,89.02,0,,,
03-Jan-11,89.42,0,,,
04-Jan-11,89.68,0,,,
05-Jan-11,89.77,0,,,
06-Jan-11,89.91,0,,,
07-Jan-11,89.93,0,,,
10-Jan-11,89.97,0,,,
11-Jan-11,90.1,0,,,
12-Jan-11,90.23,0,,,
13-Jan-11,90.35,0,,,
14-Jan-11,90.37,0,,,
18-Jan-11,90.49,0,,,
19-Jan-11,90.55,0,,,
20-Jan-11,90.51,0,,,
21-Jan-11,90.59,0,,,
24-Jan-11,90.7,0,,,
25-Jan-11,90.8,0,,,
26-Jan-11,90.89,0,,,
27-Jan-11,91.07,0,,,
28-Jan-11,91.11,0,,,
31-Jan-11,91.15,0,,,
01-Feb-11,90.72,0.59,,,
02-Feb-11,90.78,0,,,
03-Feb-11,90.87,0,,,
04-Feb-11,91.07,0,,,
07-Feb-11,91.28,0,,,
08-Feb-11,91.42,0,,,
09-Feb-11,91.35,0,,,
10-Feb-11,91.26,0,,,
11-Feb-11,91.29,0,,,
14-Feb-11,91.34,0,,,
15-Feb-11,91.39,0,,,
16-Feb-11,91.47,0,,,
17-Feb-11,91.57,0,,,
18-Feb-11,91.71,0,,,
22-Feb-11,91.8,0,,,
23-Feb-11,91.59,0,,,
24-Feb-11,91.43,0,,,
25-Feb-11,91.54,0,,,
28-Feb-11,91.75,0,,,
01-Mar-11,91.25,0.58,,,
02-Mar-11,91.25,0,,,
03-Mar-11,91.33,0,,,
04-Mar-11,91.34,0,,,
07-Mar-11,91.32,0,,,
08-Mar-11,91.31,0,,,
09-Mar-11,91.27,0,,,
10-Mar-11,91.12,0,,,
11-Mar-11,91,0,,,
14-Mar-11,90.98,0,,,
15-Mar-11,90.48,0,,,
16-Mar-11,90.57,0,,,
17-Mar-11,90.65,0,,,
18-Mar-11,90.89,0,,,
21-Mar-11,91.07,0,,,
22-Mar-11,91.09,0,,,
23-Mar-11,90.99,0,,,
24-Mar-11,91.08,0,,,
25-Mar-11,91.19,0,,,
28-Mar-11,91.25,0,,,
29-Mar-11,91.21,0,,,
30-Mar-11,91.28,0,,,
31-Mar-11,91.33,0,,,
01-Apr-11,90.87,0.57,,,
04-Apr-11,91.07,0,,,
