Date,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
09-Sep-13,118.44,110.25,--,"33,900,000.00"
10-Sep-13,118.44,110.24,--,"34,800,000.00"
11-Sep-13,118.44,110.24,--,"34,800,000.00"
12-Sep-13,118.44,110.24,--,"34,900,000.00"
13-Sep-13,118.44,110.24,--,"34,900,000.00"
16-Sep-13,118.45,110.25,--,"34,900,000.00"
17-Sep-13,118.45,110.25,--,"34,900,000.00"
18-Sep-13,118.45,110.25,--,"34,300,000.00"
19-Sep-13,118.45,110.25,--,"35,000,000.00"
20-Sep-13,118.44,110.24,--,"34,800,000.00"
23-Sep-13,118.45,110.25,--,"34,800,000.00"
24-Sep-13,118.45,110.26,--,"34,800,000.00"
25-Sep-13,118.45,110.25,--,"34,900,000.00"
26-Sep-13,118.45,110.25,--,"35,000,000.00"
27-Sep-13,118.45,110.24,--,"35,000,000.00"
30-Sep-13,118.45,110.25,--,"35,000,000.00"
01-Oct-13,118.45,110.25,0,"30,900,000.00"
02-Oct-13,118.45,110.25,--,"30,800,000.00"
03-Oct-13,118.45,110.24,--,"29,500,000.00"
04-Oct-13,118.44,110.22,--,"28,900,000.00"
07-Oct-13,118.44,110.23,--,"28,900,000.00"
08-Oct-13,118.43,110.22,--,"28,900,000.00"
09-Oct-13,118.42,110.21,--,"28,900,000.00"
10-Oct-13,118.42,110.21,--,"28,900,000.00"
11-Oct-13,118.41,110.19,--,"28,900,000.00"
14-Oct-13,--,110.21,--,"28,900,000.00"
15-Oct-13,118.41,110.2,--,"28,900,000.00"
16-Oct-13,118.42,110.21,--,"29,100,000.00"
17-Oct-13,118.44,110.23,--,"29,100,000.00"
18-Oct-13,118.44,110.23,--,"29,400,000.00"
21-Oct-13,118.45,110.24,--,"29,100,000.00"
22-Oct-13,118.45,110.24,--,"29,100,000.00"
23-Oct-13,118.45,110.24,--,"29,100,000.00"
24-Oct-13,118.45,110.24,--,"28,500,000.00"
25-Oct-13,118.44,110.23,--,"28,500,000.00"
28-Oct-13,118.45,110.24,--,"28,500,000.00"
29-Oct-13,118.44,110.23,--,"27,800,000.00"
30-Oct-13,118.44,110.23,--,"27,600,000.00"
31-Oct-13,118.45,110.24,--,"27,600,000.00"
01-Nov-13,118.44,110.22,0,"27,600,000.00"
04-Nov-13,118.45,110.24,--,"27,600,000.00"
05-Nov-13,118.45,110.23,--,"27,100,000.00"
06-Nov-13,118.45,110.24,--,"27,100,000.00"
07-Nov-13,118.45,110.23,--,"27,100,000.00"
08-Nov-13,118.44,110.22,--,"26,700,000.00"
11-Nov-13,--,110.23,--,"26,700,000.00"
12-Nov-13,118.44,110.23,--,"26,700,000.00"
13-Nov-13,118.45,110.23,--,"26,700,000.00"
14-Nov-13,118.45,110.23,--,"26,700,000.00"
15-Nov-13,118.44,110.22,--,"26,700,000.00"
18-Nov-13,118.45,110.23,--,"26,700,000.00"
19-Nov-13,118.44,110.23,--,"27,300,000.00"
20-Nov-13,118.45,110.23,--,"27,400,000.00"
21-Nov-13,118.45,110.23,--,"27,900,000.00"
22-Nov-13,118.44,110.22,--,"27,900,000.00"
25-Nov-13,118.45,110.23,--,"28,000,000.00"
26-Nov-13,118.45,110.23,--,"28,000,000.00"
27-Nov-13,118.45,110.23,--,"28,000,000.00"
29-Nov-13,118.45,110.22,--,"28,000,000.00"
02-Dec-13,118.45,110.23,0,"28,000,000.00"
